2026-05-16 10:36:59|admin|自动备份|backup\2026-05-16_103659|成功
2026-05-16 10:39:36|admin|管理员登录|管理端|成功
2026-05-16 10:40:09|admin|查看预警中心|预警中心|成功
2026-05-16 10:40:15|admin|查看操作日志|admin_log.txt|成功
2026-05-16 10:40:23|admin|运行系统测试|测试数据|完成
2026-05-16 10:42:01|admin|管理员退出|管理端|成功
2026-05-16 10:53:56|admin|管理员登录|管理端|成功
2026-05-16 10:56:15|admin|管理员登录|管理端|成功
2026-05-16 10:56:18|admin|管理员退出|管理端|成功
2026-05-16 11:37:46|admin|管理员登录|管理端|成功
2026-05-16 11:38:41|admin|查看预警中心|预警中心|成功
2026-05-16 11:38:45|admin|查看操作日志|admin_log.txt|成功
2026-05-16 11:39:02|admin|管理员退出|管理端|成功
2026-05-16 11:40:05|admin|管理员登录|管理端|成功
2026-05-16 11:40:19|admin|查看预警中心|预警中心|成功
2026-05-16 11:40:34|admin|查看操作日志|admin_log.txt|成功
2026-05-16 11:42:04|admin|管理员退出|管理端|成功
2026-05-16 12:02:01|admin|管理员登录|管理端|成功
2026-05-16 12:02:14|admin|管理员退出|管理端|成功
2026-05-16 16:42:38|admin|管理员登录|管理端|成功
2026-05-16 18:35:37|admin|管理员登录|管理端|成功
2026-05-16 18:36:29|admin|查看预警中心|预警中心|成功
2026-05-16 18:36:33|admin|查看操作日志|admin_log.txt|成功
2026-05-16 18:36:39|admin|运行系统测试|测试数据|完成
2026-05-16 19:45:41|admin|管理员退出|管理端|成功
2026-05-16 19:50:20|admin|管理员登录|管理端|成功
2026-05-16 19:50:36|admin|查看预警中心|预警中心|成功
2026-05-16 19:50:38|admin|查看操作日志|admin_log.txt|成功
2026-05-16 19:50:41|admin|查看备份列表|backup|成功
2026-05-16 19:50:43|admin|管理员退出|管理端|成功
2026-05-16 19:50:55|admin|管理员登录|管理端|成功
2026-05-16 19:50:56|admin|运行系统测试|测试数据|完成
2026-05-16 19:52:06|admin|管理员退出|管理端|成功
